-3,-12.95,-0.0328,-111.02,-0.1307
-2.5,-6.289,-0.0232,-86.54,-0.1116
-2,-2.954,-0.0102,-61.5,-0.0752
-1.5,-1.057,-0.00261,-36.09,-0.0417
-1,-0.2438,-0.0008,-11.21,-0.0043
1,0.1952,0.0007516,9.798,0.0075
1.5,1.2525,0.0024,34.71,0.0477
2,3.475,0.0095,59.44,0.0697
2.5,6.897,0.0214,84.26,0.1052
3,11.69,0.034,110.1,0.1373
